outcome, cumulative-outcome, X, Y, expected-LCS, found-LCS
HIT, 1, 10010101010101101001011010100100, 10100101011010101010100101011011, 5, 5
HIT, 2, 10101001010101011010010110010100, 10011010010110100110010101101011, 6, 6
HIT, 3, 01101010011010101001100110011000, 01100101100110011001011010101011, 6, 6
HIT, 4, 01010110100101101001011001100100, 01010110010101010101100101101011, 5, 5
HIT, 5, 10101001100101011001100110010100, 10100101100101101001011010101011, 4, 4
HIT, 6, 10010101101001011001101001101000, 10011001010110011001100101010111, 5, 5
HIT, 7, 01011001100110010110011010011000, 10011010010101010101101001011011, 5, 5
HIT, 8, 10101001010101010110010101010100, 01100110010110011010101010100111, 4, 4
HIT, 9, 01101001101001011001011001101000, 10010101101010011001011001100111, 7, 7
HIT, 10, 01100101100110100101101010101000, 01010110011010011001010110010111, 7, 7
HIT, 11, 10011001100110011010100101010100, 10101001011010101010101001011011, 5, 5
HIT, 12, 10010101100101101010010110010100, 01100110100101010101101001010111, 4, 4
HIT, 13, 01101001011010011010011001011000, 01100110101010010101011001101011, 4, 4
HIT, 14, 10100101100110101010010101100100, 10011001011010100110100110010111, 4, 4
HIT, 15, 01011010011001100101101010011000, 01101001100101010110101001100111, 7, 7
HIT, 16, 01011001100110010101100101100100, 01100110010101100101011010011011, 10, 10
HIT, 17, 01101001010101010101010110101000, 10011001011001011010100101011011, 5, 5
HIT, 18, 10101010011001010110010110010100, 10100110010101010101101010010111, 7, 7
HIT, 19, 10011001100101010110101001010100, 10101001011001101010011010100111, 5, 5
HIT, 20, 10010110011010010101010101011000, 01010110100101010110010110011011, 7, 7
HIT, 21, 01011010100101011010101010010100, 01100110010101011010010110010111, 5, 5
HIT, 22, 01010101010110100110101010100100, 01011001101001010110010101100111, 4, 4
HIT, 23, 01011010101001100110011010100100, 10010101101010011001100101011011, 8, 8
HIT, 24, 01101001011010101010011001010100, 01010110101010010101011001101011, 6, 6
HIT, 25, 10011010010101010110100110100100, 01101010100101100110011010010111, 6, 6
